,uris,names,artist_names,artist_uris,artist_pop,artist_genres,albums,track_pop,danceability,energy,keys,loudness,modes,speechiness,acousticness,instrumentalness,liveness,valences,tempos,types,ids,track_hrefs,analysis_urls,durations_ms,time_signatures,playlist_name
109,7xSQIhOryhNaqZeAXBaClU,Along The Road,Radical Face,5EM6xJN2QNk0cL7EEm9HR9,56,"['indie folk', 'jacksonville indie', 'stomp and holler']",Ghost,27,0.555,0.57,10,-12.633,1,0.0363,0.731,0.909,0.326,0.234,110.039,audio_features,7xSQIhOryhNaqZeAXBaClU,https://api.spotify.com/v1/tracks/7xSQIhOryhNaqZeAXBaClU,https://api.spotify.com/v1/audio-analysis/7xSQIhOryhNaqZeAXBaClU,257776,4,Motivate
110,4SnGTvXFlLBhkpyTPaopug,Haunted,Radical Face,5EM6xJN2QNk0cL7EEm9HR9,56,"['indie folk', 'jacksonville indie', 'stomp and holler']",Ghost,26,0.434,0.465,1,-10.713,1,0.0267,0.937,0.694,0.156,0.0341,80.018,audio_features,4SnGTvXFlLBhkpyTPaopug,https://api.spotify.com/v1/tracks/4SnGTvXFlLBhkpyTPaopug,https://api.spotify.com/v1/audio-analysis/4SnGTvXFlLBhkpyTPaopug,284369,3,Motivate
111,7gpA3mAvnUQ9VvU6fO3sH9,Winter Is Coming,Radical Face,5EM6xJN2QNk0cL7EEm9HR9,56,"['indie folk', 'jacksonville indie', 'stomp and holler']",Ghost,30,0.638,0.701,0,-10.486,1,0.0329,0.131,0.585,0.513,0.53,140.024,audio_features,7gpA3mAvnUQ9VvU6fO3sH9,https://api.spotify.com/v1/tracks/7gpA3mAvnUQ9VvU6fO3sH9,https://api.spotify.com/v1/audio-analysis/7gpA3mAvnUQ9VvU6fO3sH9,263471,3,Motivate
112,1OvuHdfL4bQ048cj3dbXTF,Sleepwalking,Radical Face,5EM6xJN2QNk0cL7EEm9HR9,56,"['indie folk', 'jacksonville indie', 'stomp and holler']",Ghost,25,0.555,0.401,7,-11.763,1,0.0254,0.283,0.794,0.105,0.244,100.008,audio_features,1OvuHdfL4bQ048cj3dbXTF,https://api.spotify.com/v1/tracks/1OvuHdfL4bQ048cj3dbXTF,https://api.spotify.com/v1/audio-analysis/1OvuHdfL4bQ048cj3dbXTF,282593,4,Motivate
113,4NsFMkOxvmur3kjGcZVioK,Homesick,Radical Face,5EM6xJN2QNk0cL7EEm9HR9,56,"['indie folk', 'jacksonville indie', 'stomp and holler']",Ghost,29,0.451,0.182,3,-16.495,1,0.0394,0.946,0.000523,0.252,0.129,93.894,audio_features,4NsFMkOxvmur3kjGcZVioK,https://api.spotify.com/v1/tracks/4NsFMkOxvmur3kjGcZVioK,https://api.spotify.com/v1/audio-analysis/4NsFMkOxvmur3kjGcZVioK,222537,3,Motivate
114,4ufkuONjQMNR2fyXu1bO9w,Lease On Life,Andy Grammer,2oX42qP5ineK3hrhBECLmj,67,"['neo mellow', 'post-teen pop', 'viral pop']",Lease On Life,65,0.704,0.701,2,-5.442,1,0.0594,0.058,0.0,0.127,0.592,88.024,audio_features,4ufkuONjQMNR2fyXu1bO9w,https://api.spotify.com/v1/tracks/4ufkuONjQMNR2fyXu1bO9w,https://api.spotify.com/v1/audio-analysis/4ufkuONjQMNR2fyXu1bO9w,168163,4,Motivate
115,6R6ux6KaKrhAg2EIB2krdU,Without You,Parachute,2PCUhxD40qlMqsKHjTZD2e,49,"['acoustic pop', 'charlottesville indie', 'neo mellow', 'neon pop punk', 'pop rock', 'viral pop']",Wide Awake,55,0.564,0.864,4,-5.121,1,0.0341,0.0761,0.0,0.182,0.534,95.984,audio_features,6R6ux6KaKrhAg2EIB2krdU,https://api.spotify.com/v1/tracks/6R6ux6KaKrhAg2EIB2krdU,https://api.spotify.com/v1/audio-analysis/6R6ux6KaKrhAg2EIB2krdU,228933,4,Motivate
116,0l4DTppOxy7NUaEcwXuOb6,Animal,Neon Trees,0RpddSzUHfncUWNJXKOsjy,64,"['modern rock', 'neo mellow', 'pop rock', 'pov: indie']",Habits (Spotify),67,0.482,0.829,5,-5.576,1,0.0437,0.00034,0.0,0.378,0.739,147.99,audio_features,0l4DTppOxy7NUaEcwXuOb6,https://api.spotify.com/v1/tracks/0l4DTppOxy7NUaEcwXuOb6,https://api.spotify.com/v1/audio-analysis/0l4DTppOxy7NUaEcwXuOb6,212307,4,Motivate
117,0NWTC6EoKYbTdnl2rSXYDE,All Eyes On You,Smash Into Pieces,2vhrwzjf9H3icunkVFi9tq,58,['swedish alternative rock'],Godsent & All Eyes On You,45,0.591,0.72,3,-6.181,0,0.0374,0.0482,5.32e-06,0.117,0.259,90.035,audio_features,0NWTC6EoKYbTdnl2rSXYDE,https://api.spotify.com/v1/tracks/0NWTC6EoKYbTdnl2rSXYDE,https://api.spotify.com/v1/audio-analysis/0NWTC6EoKYbTdnl2rSXYDE,187333,4,Motivate
118,1MSM3Fo2fvnwVqMcz8Jhjq,Cecilia And The Satellite,Andrew McMahon in the Wilderness,716ZwtZBmwROBXcFmCzfdM,47,"['hopebeat', 'indie poptimism', 'piano rock']",Andrew McMahon In The Wilderness,61,0.381,0.844,5,-7.123,1,0.144,0.0131,0.0,0.318,0.239,194.0,audio_features,1MSM3Fo2fvnwVqMcz8Jhjq,https://api.spotify.com/v1/tracks/1MSM3Fo2fvnwVqMcz8Jhjq,https://api.spotify.com/v1/audio-analysis/1MSM3Fo2fvnwVqMcz8Jhjq,223880,4,Motivate
119,4yXNMbZrsFJbPTH0WfhwEB,Young Volcanoes,Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX,78,"['emo', 'modern rock', 'pop', 'rock']",Save Rock And Roll,58,0.599,0.853,11,-3.878,0,0.0365,0.00123,0.000504,0.37,0.676,94.997,audio_features,4yXNMbZrsFJbPTH0WfhwEB,https://api.spotify.com/v1/tracks/4yXNMbZrsFJbPTH0WfhwEB,https://api.spotify.com/v1/audio-analysis/4yXNMbZrsFJbPTH0WfhwEB,204507,4,Motivate
