,uris,names,artist_names,artist_uris,artist_pop,artist_genres,albums,track_pop,danceability,energy,keys,loudness,modes,speechiness,acousticness,instrumentalness,liveness,valences,tempos,types,ids,track_hrefs,analysis_urls,durations_ms,time_signatures,playlist_name
30,6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,86,"['art pop', 'pop']","What Was I Made For? [From The Motion Picture ""Barbie""]",95,0.444,0.0911,0,-17.665,1,0.0307,0.959,1.05e-06,0.098,0.142,78.403,audio_features,6wf7Yu7cxBSPrRlWeSeK0Q,https://api.spotify.com/v1/tracks/6wf7Yu7cxBSPrRlWeSeK0Q,https://api.spotify.com/v1/audio-analysis/6wf7Yu7cxBSPrRlWeSeK0Q,222370,4,Hot Hits Australia
31,44MuEHdlociG8KjhPhOVw5,Padam Padam,Kylie Minogue,4RVnAU35WRWra6OZ3CbbMA,70,"['australian dance', 'australian pop', 'dance pop', 'eurodance', 'new wave pop']",Tension (Deluxe),37,0.744,0.621,5,-7.931,1,0.242,0.216,0.00119,0.104,0.701,128.105,audio_features,44MuEHdlociG8KjhPhOVw5,https://api.spotify.com/v1/tracks/44MuEHdlociG8KjhPhOVw5,https://api.spotify.com/v1/audio-analysis/44MuEHdlociG8KjhPhOVw5,166267,4,Hot Hits Australia
32,7dJYggqjKo71KI9sLzqCs8,Agora Hills,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,86,"['dance pop', 'pop']",Scarlet,92,0.75,0.674,8,-6.128,0,0.097,0.228,8.91e-05,0.122,0.392,123.026,audio_features,7dJYggqjKo71KI9sLzqCs8,https://api.spotify.com/v1/tracks/7dJYggqjKo71KI9sLzqCs8,https://api.spotify.com/v1/audio-analysis/7dJYggqjKo71KI9sLzqCs8,265360,4,Hot Hits Australia
33,3BHFResGQiUvbYToUdaDQz,Enough Is Enough,Post Malone,246dkjvS1zLTtiykXe5h60,86,"['dfw rap', 'melodic rap', 'pop', 'rap']",AUSTIN,79,0.483,0.768,0,-4.911,1,0.0344,0.014,0.0,0.109,0.332,166.061,audio_features,3BHFResGQiUvbYToUdaDQz,https://api.spotify.com/v1/tracks/3BHFResGQiUvbYToUdaDQz,https://api.spotify.com/v1/audio-analysis/3BHFResGQiUvbYToUdaDQz,165175,4,Hot Hits Australia
34,3BKD1PwArikchz2Zrlp1qi,Baby Don't Hurt Me,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,85,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",Baby Don't Hurt Me,87,0.602,0.91,7,-3.404,1,0.0308,0.00126,0.000174,0.12,0.228,127.944,audio_features,3BKD1PwArikchz2Zrlp1qi,https://api.spotify.com/v1/tracks/3BKD1PwArikchz2Zrlp1qi,https://api.spotify.com/v1/audio-analysis/3BKD1PwArikchz2Zrlp1qi,140018,4,Hot Hits Australia
35,1Lo0QY9cvc8sUB2vnIOxDT,Fast Car,Luke Combs,718COspgdWOnwOFpJHRZHS,81,"['contemporary country', 'country']",Gettin' Old,89,0.712,0.603,8,-5.52,1,0.0262,0.186,0.0,0.115,0.67,97.994,audio_features,1Lo0QY9cvc8sUB2vnIOxDT,https://api.spotify.com/v1/tracks/1Lo0QY9cvc8sUB2vnIOxDT,https://api.spotify.com/v1/audio-analysis/1Lo0QY9cvc8sUB2vnIOxDT,265493,4,Hot Hits Australia
36,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,06HL4z0CvFAxyc27GXpf02,100,['pop'],Lover,99,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,audio_features,1BxfuPKGuaTgP7aM0Bbdwr,https://api.spotify.com/v1/tracks/1BxfuPKGuaTgP7aM0Bbdwr,https://api.spotify.com/v1/audio-analysis/1BxfuPKGuaTgP7aM0Bbdwr,178427,4,Hot Hits Australia
37,6HgWWaMu31KdOpEG5l28BG,All My Life (feat. J. Cole),Lil Durk,3hcs9uc56yIGFCSy9leWe7,80,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",All My Life (feat. J. Cole),82,0.829,0.436,3,-8.205,1,0.327,0.15,0.0,0.0954,0.693,143.031,audio_features,6HgWWaMu31KdOpEG5l28BG,https://api.spotify.com/v1/tracks/6HgWWaMu31KdOpEG5l28BG,https://api.spotify.com/v1/audio-analysis/6HgWWaMu31KdOpEG5l28BG,223204,4,Hot Hits Australia
38,1kuGVB7EU95pJObxwvfwKS,vampire,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,87,['pop'],GUTS,95,0.511,0.532,5,-5.745,1,0.0578,0.177,0.0,0.291,0.35,138.005,audio_features,1kuGVB7EU95pJObxwvfwKS,https://api.spotify.com/v1/tracks/1kuGVB7EU95pJObxwvfwKS,https://api.spotify.com/v1/audio-analysis/1kuGVB7EU95pJObxwvfwKS,219724,4,Hot Hits Australia
39,5eTaQYBE1yrActixMAeLcZ,Miracle (with Ellie Goulding),Calvin Harris,7CajNmpbOovFoOoasH2HaY,82,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",Miracle (with Ellie Goulding),85,0.636,0.869,9,-5.289,1,0.0412,0.0378,0.0446,0.0808,0.306,143.011,audio_features,5eTaQYBE1yrActixMAeLcZ,https://api.spotify.com/v1/tracks/5eTaQYBE1yrActixMAeLcZ,https://api.spotify.com/v1/audio-analysis/5eTaQYBE1yrActixMAeLcZ,186496,4,Hot Hits Australia
